name,description
Angel Creative Solutions for Healthcare,Innovative digital health products and solutions
CueThink,CueThink makes math social through an engaging peer-to-peer platform that is proven to drive critical thinking skills. Funded by National Science Foundation.
PreApps,PreApps is changing the way mobile apps are built and discovered.
Unruly Studios,We challenge kids to make their own rules for creative play using the problem solving process to code physical objects that interact with the world.
Education Modified,"EdModified delivers cutting-edge, research-based strategies for every special need within a teacher's daily workflow."
Kolman Artisan Glass LLC,Kolman Artisan Glass offers contemporary hand-crafted glass surfaces for the luxury interiors products industry.
R-Storm technology,Completed prototype for high-rise window cleaning robot
LaunchPad Medical,LaunchPad Medical is developing the first bone adhesive to repair bone fractures and stabilize metal implants.
"The Coaching Connector, Inc. (TCC)",TCC introduces the public to coaching and enables them to find the perfect coach. It delivers coaches a strong referral source and tools for profitability.
Alba,"Online babysitting marketplace for Latin America. We find the perfect match for each parent, just as if their best friend would have recommended it"
"QuadWrangle, Inc.",QuadWrangle automatically personalizes engagement and giving between schools and their graduates
Solchroma Technologies Inc,"Solchroma is building the world's most vivid, sunlight-readable displays for our future Smart Cities."
BrainStem Biometrics,We are launching a breakthrough sedation assessment system in the US hospital market to reduce ICU costs and improve patient safety.
Mighty Well,We help patients and their loved ones turn sickness into strength through apparel and accessories that transform the patient and caregiver experience.
FlyUpAV,FlyUp Air Vehicle
Unruly Studios,We challenge kids to make their own rules for creative play using the problem solving process to code physical objects that interact with the world.
"Power Development International, Inc.","Converting moving water into electricity more efficiently, more cost effectively and more responsibly than anything available on the market today."
"EvaluationRx, Inc.",EvaluationRx provides cloud software for hospitals to evaluate medical products and medtech vendors to improve sales efficiency.
"iRewardHealth, Inc","The world's first smart health incentive program, leveraging machine learning and cash based incentives to effectively motivate healthy behavior change."
Converge Software,Automate. Comply. Prosper.
Medcohere,Communication made easy
Cocomama Foods,Cocomama uses unique ingredients and form factors to make innovative natural foods that meet growing market needs and trends.
Exploros,"Making the 1:1 Tablet Classroom Work , Student-centric, teacher-driven collaborative learning platform"
Cashtivity Play,"Cashtivity teaches math through gamified real world challenges, no more boredom & frustration, math is now a fun, creative experience which students relate to."
salesEQUITY,"A SaaS-based management tool using data, AI and machine learning to drive action around the customer experience resulting in higher revenue and reduced churn."
Beantown Bedding,Beantown Bedding's Laundry-Free Linens® are 100% compostable and are the first and only eco-friendly disposable bed sheets.
Aquadat,Aquadat  makes water information actionable &  accessible to companies at the time it matters.
Social High,Social High is the Facebook for the cannabis community plus we use the Sharing Economy model telling users which of their peers nearby have which strains.
Splashscore,Your Influencer Activation Engine for Facebook
"OpenRounds, Inc.","OpenRounds is the Orbitz or AirBnB of private country, golf and city clubs."
Woodpecker,Woodpecker is a document automation platform that empowers law firms to standardize and automate their most frequently used legal documents.
Involved,"Involved is a micro-polling software for local government, helping offices increase civic engagement and understand public opinion with single question surveys."
Spoiler Alert,Boston-based enterprise software company that helps food businesses manage unsold inventory
Jobletics,Automated Labor Management System providing uniquely curated hourly workers for businesses.
Buzzient,Buzzient provides Software as a Service that enables companies to leverage social media for improved customer service.
"Intelon Optics, Inc.",We bring perioperative biomechanics imaging solutions to demanding ocular surgery and therapy.
Vaska Technologies Inc.,"We make smart-home devices that automatically replenish household consumables, such as Keurig k-cups, at the best price available from online retailers."
PatientPal,From Clipboard to Claim
ArrecifeSystems,"WE CAPTURE

THE WAVES' POWER

AND TRANSFORM IT

INTO ELECTRICITY"
Labby,Labby is a high-tech food+beverage testing lab on a smartphone!
Sports LearningEdge LLC,SLE invented and is deploying a revolutionary mobile technology to help millions of kids worldwide acquire the basic sports skills needed to play and have fun.
